"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"144","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","D","12","mean.TOF",253.301886792453
"145","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","D","2","mean.TOF",243.282738095238
"146","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","D","6","mean.TOF",209.842931937173
"147","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3518","E","1","mean.TOF",208.258771929825
"148","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","E","12","mean.TOF",249.356783919598
"149","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","E","2","mean.TOF",249.151960784314
"150","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","E","6","mean.TOF",233.172043010753
"151","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","F","12","mean.TOF",253.053191489362
"152","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","F","2","mean.TOF",236.966777408638
"153","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","F","6","mean.TOF",225.595307917889
"154","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3518","G","1","mean.TOF",221.070821529745
"155","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","G","12","mean.TOF",264.802721088435
"156","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","G","2","mean.TOF",241.524064171123
"157","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","G","6","mean.TOF",233.781065088757
"158","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3518","A","1","mean.TOF",204.104
"159","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","A","12","mean.TOF",264.526845637584
"160","20171009","abamectinNILs",1,"a",13,"DMSO","None","N2","A","2","mean.TOF",225.877300613497
"161","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3448","A","6","mean.TOF",210.250980392157
"162","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3518","B","1","mean.TOF",231.59375
"163","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","B","12","mean.TOF",271.918316831683
"164","20171009","abamectinNILs",1,"a",13,"DMSO","None","N2","B","2","mean.TOF",243.613138686131
"165","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3448","B","6","mean.TOF",209.205128205128
"166","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3518","C","1","mean.TOF",200.162790697674
"167","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","C","12","mean.TOF",257.488431876607
"168","20171009","abamectinNILs",1,"a",13,"DMSO","None","N2","C","2","mean.TOF",244.060324825986
